"folder","files","folders","bytes","mb","gb","likely_bulk_or_generated"
"modules","104681","14874","3769539857","3594.913","3.511","False"
".venv","48201","5349","1681851418","1603.939","1.566","True"
"output","599","109","105382291","100.5","0.098","True"
"debug","28","0","33192598","31.655","0.031","True"
"app","2","11","49451","0.047","0","False"
